# Te/eV   ne/nm^-3   vosc/vtherm omega/omega_pl   Ne=Ni
   0.1     10.0       0.2         3.0              1000        
   0.5     10.0       0.2         3.0              1000        4695
   1.0     10.0       0.2         3.0              1000        4695
   2.0     10.0       0.2         3.0              1000        4695
   5.0     10.0       0.2         3.0              1000        4695
   7.7     10.0       0.2         3.0              1000        4695
  10.0     10.0       0.2         3.0              1000        4695
  33.0     10.0       0.2         3.0              1000        4695
  50.0     10.0       0.2         3.0              1000        4695
 100.0     10.0       0.2         3.0              1000        4695
#
   0.1      0.1       0.2         3.0              1000        4695
   0.5      0.1       0.2         3.0              1000        4695
   1.0      0.1       0.2         3.0              1000        4695
   2.0      0.1       0.2         3.0              1000        4695
   5.0      0.1       0.2         3.0              1000        4695
   7.7      0.1       0.2         3.0              1000        4695
  10.0      0.1       0.2         3.0              1000        4695
  33.0      0.1       0.2         3.0              1000        4695
  50.0      0.1       0.2         3.0              1000        4695
 100.0      0.1       0.2         3.0              1000        4695
#
   0.1      0.001       0.2         3.0              1000        4695
   0.5      0.001       0.2         3.0              1000        4695
   1.0      0.001       0.2         3.0              1000        4695
   2.0      0.001       0.2         3.0              1000        4695
   5.0      0.001       0.2         3.0              1000        4695
   7.7      0.001       0.2         3.0              1000        4695
  10.0      0.001       0.2         3.0              1000        4695
  33.0      0.001       0.2         3.0              1000        4695
  50.0      0.001       0.2         3.0              1000        4695
 100.0      0.001       0.2         3.0              1000        4695
#
   2.0     10.0       0.2         0.01             1000        4695
   2.0     10.0       0.2         0.1              1000        4695
   2.0     10.0       0.2         0.25             1000        4695
   2.0     10.0       0.2         0.5              1000        4695
   2.0     10.0       0.2         1.0              1000        4695
   2.0     10.0       0.2         1.25             1000        4695
   2.0     10.0       0.2         1.5              1000        4695
   2.0     10.0       0.2         2.0              1000        4695
   2.0     10.0       0.2         5.0              1000        7778
   2.0     10.0       0.2         10.0             1000        15556
   2.0     10.0       0.2         22.5             1000        35002
   2.0     10.0       0.2         50.0             1000        77782
   2.0     10.0       0.2         100.0            1000        155564
#
   7.7     10.0       0.2         0.01             1000        4695
   7.7     10.0       0.2         0.1              1000        4695
   7.7     10.0       0.2         0.25             1000        4695
   7.7     10.0       0.2         0.5              1000        4695
   7.7     10.0       0.2         1.0              1000        4695
   7.7     10.0       0.2         1.25             1000        4695
   7.7     10.0       0.2         1.5              1000        4695
   7.7     10.0       0.2         2.0              1000        4695
   7.7     10.0       0.2         5.0              1000        7778
   7.7     10.0       0.2         10.0             1000        15556
   7.7     10.0       0.2         22.5             1000        35002
   7.7     10.0       0.2         50.0             1000        77782
   7.7     10.0       0.2         100.0            1000        155564
#
  33.0     10.0       0.2         0.01             1000        4695
  33.0     10.0       0.2         0.1              1000        4695
  33.0     10.0       0.2         0.25             1000        4695
  33.0     10.0       0.2         0.5              1000        4695
  33.0     10.0       0.2         1.0              1000        4695
  33.0     10.0       0.2         1.25             1000        4695
  33.0     10.0       0.2         1.5              1000        4695
  33.0     10.0       0.2         2.0              1000        4695
  33.0     10.0       0.2         5.0              1000        7778
  33.0     10.0       0.2         10.0             1000        15556
  33.0     10.0       0.2         22.5             1000        35002
  33.0     10.0       0.2         50.0             1000        77782
  33.0     10.0       0.2         100.0            1000        155564
#
   2.0     10.0       0.1         3.0              1000        9391
   2.0     10.0       0.35        3.0              1000        4666
   2.0     10.0       0.5         3.0              1000        4666
   2.0     10.0       1.0         3.0              1000        4666
   2.0     10.0       2.0         3.0              1000        6424
   2.0     10.0       3.5         3.0              1000        11242
   2.0     10.0       5.0         3.0              1000        16060
   2.0     10.0      10.0         3.0              1000        32120
   2.0     10.0      20.0         3.0              1000        64241
   2.0     10.0      50.0         3.0              1000        160603
   2.0     10.0     100.0         3.0              1000        321207
#
  50.0     10.0       0.1         3.0              1000        9391
  50.0     10.0       0.35        3.0              1000        4666
  50.0     10.0       0.5         3.0              1000        4666
  50.0     10.0       1.0         3.0              1000        4666
  50.0     10.0       2.0         3.0              1000        6424
  50.0     10.0       3.5         3.0              1000        11242
  50.0     10.0       5.0         3.0              1000        16060
  50.0     10.0      10.0         3.0              1000        32120
  50.0     10.0      20.0         3.0              1000        64241
  50.0     10.0      50.0         3.0              1000        160603
  50.0     10.0     100.0         3.0              1000        321207
