Energy(eV)  cross_section(angstrom^2/1e-16cm^2)
101
0.1 9.23
0.12  9.47
0.15  9.76
0.17  9.93
0.2 10.1
0.25  10.5
0.3 10.7
0.35  11.
0.4 11.2
0.45  11.4
0.5 11.6
0.6 11.9
0.7 12.3
0.8 12.8
0.9 13.2
1.0 13.5
1.2 14.2
1.5 15.
1.7 15.5
2.  16.
2.5 16.5
3.  16.6
3.5 16.6
4.  16.3
4.5 15.9
5.  15.4
6.  14.4
7.  13.3
8.  12.4
9.  11.6
10. 10.9
11. 0.0
12. 9.61
13. 0.0
15. 8.19
16. 0.0
17. 7.46
18.5 0.0
20. 6.6
22.5 0.0
25. 5.61
27.5 0.0
30. 4.97
32.5 0.0
35. 4.54
37.5 0.0
40. 4.19
42.5 0.0
45. 3.91
47.5 0.0
50. 3.68
55. 0.0
60. 3.36
65. 0.0
70. 3.06
75. 0.0
80. 2.86
85. 0.0
90. 2.68
95. 0.0
100. 2.54
110. 0.0
120. 2.25
130. 0.0
140. 0.0
150. 1.98
160. 0.0
170. 1.84
180. 0.0
190. 0.0
200. 1.66
214. 0.0
228. 0.0
240. 0.0
250. 1.43
264. 0.0
278. 0.0
290. 0.0
300. 1.24
314. 0.0
328. 0.0
340. 0.0
350. 1.11
364. 0.0
378. 0.0
390. 0.0
400. 1.
414. 0.0
428. 0.0
440. 0.0
450. 0.914
464. 0.0
478. 0.0
490. 0.0
500. 0.841
550. 0.0
600. 0.7
700. 0.614
800. 0.516
900. 0.464
1000. 0.422
