Energy(eV)  cross_section(angstrom^2/1e-16cm^2) SOURCE: JS Yoon 2008
44
12.4	0.00068
12.6	0.00207
12.8	0.00481
13.	0.00873
13.3	0.0159
13.6	0.0242
14.	0.0361
14.5	0.0512
15.	0.0657
15.5	0.0793
16.	0.092
16.5	0.104
17.	0.115
17.5	0.126
18.	0.135
18.5	0.145
19.	0.153
20.	0.169
22.5	0.201
25. 	0.224
27.5	0.242
30.	0.254
35.	0.27
40.	0.278
45.	0.281
50.	0.281
60.	0.276
70.	0.267
80.	0.258
90.	0.25
100.	0.241
150.	0.208
200.	0.184
250.	0.165
300.	0.149
350.	0.136
400.	0.125
450.	0.116
500.	0.108
600.	0.0949
700.	0.085
800.	0.0771
900.	0.0707
1000.	0.0654
